id,long,lat,ECO_CODE,WWF_MHTNUM,C:wdist3,C:wdist4,C:wdist5,C:wdist6,C:wdist7,C:wdist8,C:ones3,C:ones4,C:ones5,C:ones6,C:ones7,C:ones8,C:sizes3,C:sizes4,C:sizes5,C:sizes6,C:sizes7,C:sizes8
enabled_col,0,0,F,F,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T
162723,116.4727,24.42302,IM0118,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S1,S2,S2,S2,S1,S1,S2,S3,S3,S3
162724,116.966,24.42302,IM0118,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S2,S3,S3,S4,S1,S1,S2,S2,S2,S2
162725,117.4593,24.42302,IM0118,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S2,S3,S3,S4,S1,S1,S2,S2,S2,S2
162732,120.9124,24.42302,IM0172,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S2,S2,S3,S4,S5,S5
162733,121.4057,24.42302,IM0172,E:eb1,S2,S3,S4,S5,S6,S7,S1,S1,S2,S3,S3,S4,S1,S1,S2,S3,S3,S3
163356,67.7484,23.97386,IM0901,E:cb9,S1,S1,S2,S3,S3,S3,S2,S2,S3,S4,S4,S5,S2,S2,S3,S4,S5,S5
163357,68.2399,23.97386,IM0901,E:cb9,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0
163361,70.2062,23.97386,IM0901,E:cb9,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0
163362,70.6977,23.97386,IM0901,E:cb9,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0
163363,71.1893,23.97386,IM0901,E:cb9,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S0,S0,S0,S0,S0,S0
163364,71.6809,23.97386,IM1303,E:ca13,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163365,72.1724,23.97386,IM1303,E:ca13,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163366,72.664,23.97386,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
163367,73.1556,23.97386,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
163368,73.6471,23.97386,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
163369,74.1387,23.97386,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
163370,74.6303,23.97386,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
163371,75.1218,23.97386,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
163372,75.6134,23.97386,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163373,76.105,23.97386,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163374,76.5965,23.97386,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163375,77.0881,23.97386,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163376,77.5796,23.97386,IM0206,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163377,78.0712,23.97386,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163378,78.5628,23.97386,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
163379,79.0543,23.97386,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163380,79.5459,23.97386,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163381,80.0375,23.97386,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163382,80.529,23.97386,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163383,81.0206,23.97386,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163384,81.5122,23.97386,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163385,82.0037,23.97386,IM0207,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163386,82.4953,23.97386,IM0203,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163387,82.9869,23.97386,IM0203,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163388,83.4784,23.97386,IM0203,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163389,83.97,23.97386,IM0203,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163390,84.4615,23.97386,IM0203,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S6
163391,84.9531,23.97386,IM0203,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
163392,85.4447,23.97386,IM0203,E:dc2,S2,S2,S3,S4,S4,S4,S2,S2,S3,S4,S5,S6,S2,S2,S3,S4,S4,S4
163393,85.9362,23.97386,IM0203,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
163394,86.4278,23.97386,IM0203,E:dc2,S1,S1,S1,S2,S2,S2,S2,S3,S4,S5,S6,S7,S2,S3,S4,S5,S6,S7
163395,86.9194,23.97386,IM0203,E:dc2,S2,S2,S3,S4,S4,S4,S2,S2,S3,S4,S5,S6,S2,S2,S3,S4,S4,S4
163396,87.4109,23.97386,IM0203,E:dc2,S2,S2,S3,S4,S4,S4,S2,S2,S3,S4,S5,S6,S2,S2,S3,S4,S4,S4
163397,87.9025,23.97386,IM0120,E:eb1,S2,S2,S3,S4,S4,S4,S2,S2,S3,S4,S5,S6,S2,S2,S3,S4,S4,S4
163398,88.3941,23.97386,IM0120,E:eb1,S1,S1,S2,S3,S3,S3,S2,S2,S3,S4,S4,S5,S2,S2,S3,S4,S5,S5
163399,88.8856,23.97386,IM0120,E:eb1,S1,S1,S2,S3,S3,S3,S2,S2,S3,S4,S4,S5,S2,S2,S3,S4,S5,S5
163400,89.3772,23.97386,IM0120,E:eb1,S1,S1,S2,S3,S3,S3,S2,S2,S3,S4,S4,S5,S2,S2,S3,S4,S5,S5
163401,89.8688,23.97386,IM0120,E:eb1,S2,S2,S3,S4,S4,S4,S2,S2,S3,S4,S5,S6,S2,S2,S3,S4,S4,S4
163402,90.3603,23.97386,IM0120,E:eb1,S2,S2,S3,S4,S4,S4,S2,S2,S3,S4,S5,S6,S2,S2,S3,S4,S4,S4
163403,90.8519,23.97386,IM0120,E:eb1,S2,S2,S3,S4,S4,S4,S2,S2,S3,S4,S5,S6,S2,S2,S3,S4,S4,S4
163404,91.3434,23.97386,IM0120,E:eb1,S2,S2,S3,S4,S4,S4,S2,S2,S3,S4,S5,S6,S2,S2,S3,S4,S4,S4
163405,91.835,23.97386,IM0120,E:eb1,S2,S2,S3,S4,S4,S4,S2,S2,S3,S4,S5,S6,S2,S2,S3,S4,S4,S4
163406,92.3266,23.97386,IM0131,E:eb1,S2,S2,S3,S4,S4,S4,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
163407,92.8181,23.97386,IM0131,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
163408,93.3097,23.97386,IM0131,E:eb1,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
163409,93.8013,23.97386,IM0303,E:ea3,S2,S2,S3,S4,S5,S5,S1,S1,S2,S3,S3,S3,S1,S1,S2,S3,S3,S3
163410,94.2928,23.97386,IM0131,E:eb1,S2,S2,S3,S4,S4,S4,S2,S2,S3,S4,S5,S6,S2,S2,S3,S4,S4,S4
163411,94.7844,23.97386,IM0117,E:eb1,S2,S2,S3,S4,S4,S4,S2,S2,S3,S4,S5,S6,S2,S2,S3,S4,S4,S4
163412,95.276,23.97386,IM0117,E:eb1,S2,S2,S3,S4,S4,S4,S2,S2,S3,S4,S5,S6,S2,S2,S3,S4,S4,S4
163413,95.7675,23.97386,IM0117,E:eb1,S2,S2,S3,S4,S4,S4,S2,S2,S3,S4,S5,S6,S2,S2,S3,S4,S4,S4
163414,96.2591,23.97386,IM0117,E:eb1,S2,S2,S3,S4,S4,S4,S2,S2,S3,S4,S5,S6,S2,S2,S3,S4,S4,S4
