ID,MEAN_HYP,MEAN_LOP,MEAN_HOD,MEAN_AL,MEAN_OL,MEAN_SF,MEAN_OT,MEAN_CM,MEAN_OO,MEAN_ETH,MEAN_LOPT,NB_SPC
enabled_col,T,T,T,T,T,T,T,T,T,T,T,F
170084,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
170085,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
170086,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
170087,2.111,1.111,1.222,0.000,0.667,0.444,0.111,0.111,0.111,0.111,0.333,9
170088,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
170089,2.111,1.111,1.222,0.000,0.667,0.444,0.111,0.111,0.111,0.111,0.333,9
170090,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
170091,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
170092,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
170108,1.167,0.333,1.000,0.167,0.167,0.167,0.000,0.000,0.000,0.167,0.000,6
170109,1.900,0.800,1.200,0.100,0.500,0.100,0.100,0.100,0.300,0.100,0.300,10
170110,1.500,0.750,1.000,0.125,0.375,0.250,0.000,0.000,0.125,0.125,0.000,8
170111,1.500,1.000,1.000,0.250,0.500,0.500,0.000,0.000,0.000,0.000,0.000,4
170112,1.625,0.500,1.250,0.125,0.375,0.125,0.125,0.125,0.125,0.125,0.375,8
170113,1.500,0.667,1.000,0.167,0.333,0.167,0.000,0.000,0.167,0.000,0.000,6
170114,1.556,0.444,1.222,0.111,0.333,0.111,0.111,0.111,0.111,0.111,0.333,9
170115,1.700,0.600,1.200,0.100,0.400,0.100,0.100,0.100,0.200,0.100,0.300,10
170116,1.556,0.667,1.000,0.111,0.333,0.111,0.000,0.000,0.222,0.111,0.000,9
170117,1.500,0.600,1.000,0.100,0.300,0.100,0.000,0.000,0.200,0.100,0.000,10
170118,1.455,0.545,1.000,0.091,0.273,0.091,0.000,0.000,0.182,0.091,0.000,11
170119,1.500,0.600,1.000,0.100,0.300,0.100,0.000,0.000,0.200,0.100,0.000,10
170120,1.455,0.727,1.000,0.182,0.364,0.091,0.000,0.000,0.182,0.091,0.000,11
170121,1.300,0.600,1.000,0.200,0.300,0.100,0.000,0.000,0.100,0.100,0.000,10
170122,1.273,0.545,1.000,0.182,0.273,0.091,0.000,0.000,0.091,0.091,0.000,11
170123,1.231,0.769,1.000,0.308,0.385,0.077,0.000,0.000,0.077,0.077,0.000,13
170124,1.231,0.769,1.000,0.308,0.385,0.077,0.000,0.000,0.077,0.077,0.000,13
170125,1.273,0.545,1.000,0.182,0.273,0.091,0.000,0.000,0.091,0.091,0.000,11
170126,1.231,0.769,1.000,0.308,0.385,0.077,0.000,0.000,0.077,0.077,0.000,13
170127,1.231,0.769,1.000,0.308,0.385,0.077,0.000,0.000,0.077,0.077,0.000,13
170128,1.385,0.769,1.000,0.231,0.385,0.154,0.000,0.077,0.077,0.077,0.000,13
170129,1.273,0.727,1.000,0.273,0.364,0.091,0.000,0.000,0.091,0.091,0.000,11
170130,1.273,0.727,1.000,0.273,0.364,0.091,0.000,0.000,0.091,0.091,0.000,11
170131,1.250,0.833,1.000,0.333,0.417,0.083,0.000,0.000,0.083,0.083,0.000,12
170132,1.083,0.667,1.000,0.333,0.333,0.083,0.000,0.000,0.000,0.083,0.000,12
170133,1.000,0.000,1.000,0.200,0.000,0.000,0.000,0.000,0.000,0.200,0.000,5
170143,1.333,0.667,1.000,0.000,0.333,0.333,0.000,0.000,0.000,0.333,0.000,3
170820,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
170821,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
170822,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
170823,2.143,1.429,1.000,0.000,0.714,0.571,0.000,0.000,0.143,0.143,0.000,7
170824,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170825,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170826,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170827,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170828,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170829,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170830,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170831,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170832,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170833,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170834,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170835,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170836,2.111,1.333,1.000,0.000,0.667,0.444,0.000,0.000,0.222,0.111,0.000,9
170837,2.000,1.250,1.000,0.000,0.625,0.500,0.000,0.000,0.125,0.125,0.000,8
170838,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
170839,1.857,1.143,1.000,0.000,0.571,0.571,0.000,0.000,0.000,0.143,0.000,7
